,REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT,human100km,human50km,human25km
1,1,2002,GBR,GBR,17.1,22.9,0.19369,145.27063,-14.8519,508,114,26
2,2,2006,GBR,GBR,0.5,48.8,-1.57175,145.35517,-14.78517,405,67,7
3,3,2006,GBR,GBR,0.4,31.9,-0.92322,145.37223,-14.7553,379,56,1
4,4,2006,GBR,GBR,1.3,21.8,-0.49023,145.46923,-14.69147,284,22,0
5,5,2006,GBR,GBR,0.9,27.8,-0.74306,145.491,-14.64833,246,16,0
6,6,2006,GBR,GBR,2.2,25.6,-0.59811,145.51577,-14.74355,270,21,0
7,7,2005,GBR,GBR,1.1,16,-0.27646,145.57095,-16.38352,172566,29615,2524
8,8,2006,GBR,GBR,2,28.8,-0.73161,145.58198,-14.52352,151,0,0
9,9,2006,GBR,GBR,2,23.4,-0.51953,145.61827,-14.57012,146,0,0
10,10,2006,GBR,GBR,1.2,19.7,-0.41323,145.64533,-14.62787,154,0,0
11,11,2005,GBR,GBR,0.8,27,-0.71595,145.65455,-16.04263,118112,8051,476
12,12,2006,GBR,GBR,0.5,24.5,-0.63434,145.84515,-16.07158,120307,1932,0
13,13,2006,GBR,GBR,0.2,29.3,-0.83107,145.86877,-16.03838,73534,784,0
14,14,2005,GBR,GBR,7,20.7,-0.18801,145.9062,-16.20343,154491,150,0
15,15,2005,GBR,GBR,3.5,9.5,0.08424,145.98045,-16.77532,188813,142014,2966
16,16,2005,GBR,GBR,0.3,15.3,-0.28766,145.99313,-16.92315,196758,147153,48752
17,17,2006,GBR,GBR,1,23.6,-0.5726,146.02267,-16.49935,168973,15903,0
18,18,2005,GBR,GBR,0.9,23,-0.55951,146.05,-16.54865,169788,36856,0
19,19,2006,GBR,GBR,1,11.1,-0.0929,146.19812,-16.7988,177849,48379,27
20,20,2005,GBR,GBR,9.6,47.5,-1.10541,146.42742,-18.8125,180578,16143,2696
21,21,2005,GBR,GBR,51.2,7.9,2.34224,146.53737,-18.8315,180670,25366,504
22,22,2005,GBR,GBR,6.5,40,-0.95733,146.8102,-19.19415,182371,154101,143480
23,23,2006,GBR,GBR,15.5,7.3,0.72097,146.87865,-18.47182,157945,530,0
24,24,2005,GBR,GBR,13.8,1.3,0.87537,147.08147,-18.61882,160102,120,0
25,25,2005,GBR,GBR,1.2,29.5,-0.79301,147.38127,-18.25717,354,0,0
26,26,2005,GBR,GBR,2.6,29.2,-0.71754,147.4519,-18.39987,399,0,0
27,27,2005,GBR,GBR,23.8,31.3,0.17448,147.66862,-18.806,10092,0,0
28,28,2006,GBR,GBR,2.1,11.4,-0.05161,147.7217,-18.65212,1057,0,0
29,29,2005,GBR,GBR,0.1,21.8,-0.54877,148.87378,-20.07727,31067,10846,1233
30,30,2005,GBR,GBR,0,45.6,-1.46813,148.8994,-20.05698,30228,9478,928
31,31,2005,GBR,GBR,0,27.4,-0.76683,149.03772,-20.1819,51689,7354,1578
32,32,2006,GBR,GBR,0.4,16.7,-0.33516,149.38033,-19.76625,6186,0,0
33,33,2005,GBR,GBR,0.6,39.3,-1.20253,149.43047,-19.80687,5449,0,0
34,34,2005,GBR,GBR,1.3,48.3,-1.51743,149.6951,-20.02943,2455,0,0
35,36,2005,GBR,GBR,0.3,15.2,-0.28339,150.0808,-19.73872,0,0,0
36,37,2004,GBR,GBR,0.1,19.1,-0.44178,150.16142,-19.7922,0,0,0
37,38,2006,GBR,GBR,0.2,26.2,-0.7099,151.94255,-23.24957,23520,0,0
38,39,2006,GBR,GBR,3.9,27,-0.57521,151.97623,-23.31722,31634,0,0
39,40,2006,GBR,GBR,0.3,43.7,-1.38087,152.08878,-23.48365,35288,0,0
40,41,2006,GBR,GBR,2.9,31.8,-0.8023,152.18695,-21.86258,0,0,0
41,43,2006,GBR,GBR,0,72.3,-2.49934,152.41978,-23.8835,7802,0,0
42,44,2006,GBR,GBR,0.4,11,-0.11684,152.48017,-21.97585,0,0,0
43,45,2006,GBR,GBR,1.6,9.9,-0.01689,152.56012,-21.70308,0,0,0
44,46,2006,GBR,GBR,0.8,13.2,-0.18209,152.5665,-21.46982,0,0,0
45,47,2006,GBR,GBR,0.4,15.8,-0.29943,152.61893,-22.02315,0,0,0
46,48,2005,GBR,GBR,0.1,37.6,-1.15719,152.66857,-21.99795,0,0,0
47,76,2001,Hawaiian Islands,Indo-Pacific,0.1,32.1,-0.94551,-155.83595,20.02865,158252,52577,22747
48,239,2000,Hawaiian Islands,Indo-Pacific,4.3,5.7,0.26725,-159.72667,22.14667,62985,62892,11929
49,240,2000,Hawaiian Islands,Indo-Pacific,4.3,14.4,-0.0668,-159.7017,22.16068,62985,62866,14523
50,241,1999,Hawaiian Islands,Indo-Pacific,15.5,36.9,-0.42049,-159.69325,22.93762,19804,0,0
51,242,2000,Hawaiian Islands,Indo-Pacific,0.3,17.4,-0.37091,-159.57925,22.22482,62985,62823,17356
52,243,2000,Hawaiian Islands,Indo-Pacific,7.6,28,-0.44251,-159.51212,22.21093,62985,62823,34392
53,245,2001,Hawaiian Islands,Indo-Pacific,60.8,13.2,2.57648,-159.4454,22.22405,62985,62823,33537
54,246,2001,Hawaiian Islands,Indo-Pacific,0.1,10,-0.09203,-158.14255,21.37318,945638,941905,382969
55,247,2000,Hawaiian Islands,Indo-Pacific,0.1,13.2,-0.21561,-158.04328,21.67542,945047,833179,117687
56,248,2001,Hawaiian Islands,Indo-Pacific,2.2,49.1,-1.50543,-157.83085,21.37318,949612,944162,811279
57,249,2001,Hawaiian Islands,Indo-Pacific,27.9,12.5,1.09034,-157.80913,21.44807,949284,944766,795245
58,250,1999,Hawaiian Islands,Indo-Pacific,1.4,25.2,-0.6173,-157.695,21.26855,955350,886061,508791
59,251,2001,Hawaiian Islands,Indo-Pacific,0.9,64.6,-2.16384,-157.10767,21.0892,842806,15588,5774
60,252,2001,Hawaiian Islands,Indo-Pacific,3.2,3.5,0.30354,-157.00023,21.06965,655105,29300,7986
61,253,2001,Hawaiian Islands,Indo-Pacific,0.3,66.1,-2.24937,-156.89728,21.0416,369989,80480,9345
62,254,2000,Hawaiian Islands,Indo-Pacific,4.6,10.4,0.09954,-156.66722,20.85615,138182,132888,80566
63,256,2000,Hawaiian Islands,Indo-Pacific,0.1,39.4,-1.22551,-156.61155,20.80842,138578,132910,88945
64,257,2001,Hawaiian Islands,Indo-Pacific,1.5,63.5,-2.09376,-156.55107,20.59252,145352,127589,16882
65,258,1999,Hawaiian Islands,Indo-Pacific,0.1,21.6,-0.54001,-156.43735,20.61748,149862,127284,29583
66,259,2001,Hawaiian Islands,Indo-Pacific,2,15,-0.19772,-156.43723,20.61783,149862,127284,29583
67,261,2000,Hawaiian Islands,Indo-Pacific,32.3,39,0.26898,-156.4262,20.92178,139686,130018,114209
68,264,1999,Hawaiian Islands,Indo-Pacific,0.3,9.8,-0.0751,-155.89377,19.26997,132681,33594,5070
69,266,2000,Hawaiian Islands,Indo-Pacific,2.3,10.1,0.00532,-155.23427,19.98987,155187,72048,6327
70,1573,2001,GBR,GBR,18.8,36.3,-0.24781,145.86733,-16.24167,159297,864,0
71,1574,2005,E. Indian Ocean,Indo-Pacific,2.5,36.9,-1.01951,95.11292,6.07642,544536,28914,127
72,1575,2005,E. Indian Ocean,Indo-Pacific,1.3,5.6,0.12984,95.16386,5.64883,881108,493469,227031
73,1578,2005,Taiwan_Japan,Indo-Pacific,5.6,13.8,0.01732,132.42528,32.94028,1684954,263011,43924
74,1579,2005,Taiwan_Japan,Indo-Pacific,1.3,28.1,-0.7391,132.45083,32.94444,1676246,258624,49915
